Strike,Moneyness,Bid,Mid,Ask,Latest,Change,%Change,Volume,"Open Int","OI Chg",IV,Delta,Type,Time
"3,000.00",+60.42%,"4,566.70","4,579.80","4,592.90","4,591.40",unch,unch,1,0,unch,577.80%,0.9914,Call,05/29/26
"3,200.00",+57.78%,"4,366.20","4,379.35","4,392.50","4,392.70",unch,unch,1,0,unch,549.14%,0.9900,Call,05/29/26
"3,400.00",+55.15%,"4,164.50","4,177.65","4,190.80","4,192.40","+4,192.40",unch,1,1,unch,511.41%,0.9895,Call,05/29/26
"3,600.00",+52.51%,"3,966.70","3,979.85","3,993.00","3,992.00",unch,unch,1,0,unch,475.31%,0.9891,Call,05/29/26
"3,800.00",+49.87%,"3,763.90","3,777.00","3,790.10","3,793.80",unch,unch,1,0,unch,453.60%,0.9870,Call,05/29/26
"4,000.00",+47.23%,"3,564.70","3,577.80","3,590.90","3,591.00",unch,unch,1,0,unch,407.80%,0.9884,Call,05/29/26
"4,200.00",+44.59%,"3,364.00","3,378.90","3,393.80",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"4,400.00",+41.95%,"3,163.60","3,178.60","3,193.60","3,191.20",unch,unch,1,0,unch,353.37%,0.9865,Call,05/29/26
"4,600.00",+39.31%,"2,963.60","2,978.45","2,993.30","2,978.95",-14.95,-0.50%,5,0,unch,0.00%,0.0000,Call,05/29/26
"4,800.00",+36.68%,"2,764.20","2,777.25","2,790.30","2,791.10","+2,791.10",unch,2,0,unch,301.89%,0.9845,Call,05/29/26
"5,000.00",+34.04%,"2,566.50","2,578.70","2,590.90",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"5,200.00",+31.40%,"2,366.80","2,378.85","2,390.90","2,391.10",-3.69,-0.15%,18,17,unch,254.61%,0.9819,Call,05/29/26
"5,400.00",+28.76%,"2,166.60","2,178.75","2,190.90","2,190.60",unch,unch,1,0,unch,230.23%,0.9811,Call,05/29/26
"5,600.00",+26.12%,"1,966.60","1,978.75","1,990.90","1,972.05",-20.65,-1.04%,4,0,unch,0.00%,0.0000,Call,05/29/26
"5,700.00",+24.80%,"1,866.90","1,878.90","1,890.90","1,872.31",-2.76,-0.15%,2,1,unch,0.00%,0.0000,Call,05/29/26
"5,800.00",+23.48%,"1,766.70","1,778.80","1,790.90","1,792.70",+28.98,+1.64%,2,0,unch,193.96%,0.9737,Call,05/29/26
"5,900.00",+22.16%,"1,666.70","1,678.65","1,690.60","1,688.70",unch,unch,1,2,unch,170.68%,0.9797,Call,05/29/26
"6,000.00",+20.84%,"1,576.70","1,577.80","1,578.90","1,515.28",unch,unch,0,"1,503",unch,0.00%,0.0000,Call,05/26/26
"6,100.00",+19.53%,"1,466.80","1,478.75","1,490.70","1,490.50",unch,unch,1,1,unch,156.46%,0.9735,Call,05/29/26
"6,150.00",+18.87%,"1,414.20","1,427.10","1,440.00","1,442.70",unch,unch,1,1,unch,157.29%,0.9682,Call,05/29/26
"6,175.00",+18.54%,"1,391.40","1,404.25","1,417.10",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,200.00",+18.21%,"1,366.70","1,378.70","1,390.70",990.91,unch,unch,0,2,unch,0.00%,0.0000,Call,N/A
"6,225.00",+17.88%,"1,339.70","1,352.75","1,365.80",966.88,unch,unch,0,2,unch,0.00%,0.0000,Call,N/A
"6,250.00",+17.55%,"1,315.20","1,328.15","1,341.10",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,275.00",+17.22%,"1,289.30","1,302.20","1,315.10",0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
"6,300.00",+16.89%,"1,266.70","1,278.70","1,290.70",871.92,unch,unch,0,1,unch,0.00%,0.0000,Call,N/A
